fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving,n_veh,ade_veh,fde_veh,minade_veh,minfde_veh
0,pad0_k6,0,7e2f727866c69ea0,84,83,2.50165,5.01470,2.51157,5.04982,nan,2.20353,4.27608,2.20986,4.30230,84,2.50165,5.01470,2.20353,4.27608
0,pad0_k6,0,82f90331a1dfe968,99,98,5.70803,10.31778,5.74996,10.40281,nan,3.00194,4.70097,3.01625,4.72869,99,5.70803,10.31778,3.00194,4.70097
0,pad0_k6,1,7e2f727866c69ea0,84,83,10.03172,19.96894,10.13490,20.18494,nan,3.62219,6.75296,3.64815,6.80973,84,10.03172,19.96894,3.62219,6.75296
0,pad0_k6,1,82f90331a1dfe968,99,98,5.10733,9.11645,5.14524,9.18902,nan,3.58516,6.00722,3.60753,6.04806,99,5.10733,9.11645,3.58516,6.00722
0,pad0_k6,2,7e2f727866c69ea0,84,83,6.37131,12.49089,6.43843,12.63949,nan,2.29911,4.50270,2.31715,4.55505,84,6.37131,12.49089,2.29911,4.50270
0,pad0_k6,2,82f90331a1dfe968,99,98,3.72536,5.98707,3.75573,6.04398,nan,2.80008,3.82168,2.82101,3.85649,99,3.72536,5.98707,2.80008,3.82168
0,pad0_k6,3,7e2f727866c69ea0,84,83,4.99006,9.38042,5.03495,9.48053,nan,4.91304,9.32021,4.95701,9.41960,84,4.99006,9.38042,4.91304,9.32021
0,pad0_k6,3,82f90331a1dfe968,99,98,5.43215,9.96109,5.47550,10.05241,nan,3.10408,5.32109,3.12366,5.36506,99,5.43215,9.96109,3.10408,5.32109
0,pad0_k6,4,7e2f727866c69ea0,84,83,3.73549,8.44555,3.75818,8.52341,nan,2.25601,5.43107,2.26316,5.47262,84,3.73549,8.44555,2.25601,5.43107
0,pad0_k6,4,82f90331a1dfe968,99,98,4.88701,8.45736,4.91876,8.52490,nan,3.41421,5.54594,3.43268,5.58422,99,4.88701,8.45736,3.41421,5.54594
0,pad0_k6,5,7e2f727866c69ea0,84,83,2.95723,8.35062,2.97155,8.42808,nan,2.83001,7.97587,2.84280,8.04881,84,2.95723,8.35062,2.83001,7.97587
0,pad0_k6,5,82f90331a1dfe968,99,98,4.58329,9.69596,4.61288,9.77673,nan,3.51345,5.33836,3.53212,5.37467,99,4.58329,9.69596,3.51345,5.33836
0,pad0_k6,6,7e2f727866c69ea0,84,83,2.68406,5.05304,2.68530,5.07680,nan,2.30325,4.44687,2.31909,4.48730,84,2.68406,5.05304,2.30325,4.44687
0,pad0_k6,6,82f90331a1dfe968,99,98,4.31406,7.83614,4.33410,7.88857,nan,3.39302,5.54581,3.41833,5.59279,99,4.31406,7.83614,3.39302,5.54581
